uid,platform,source,rating,text,discovery_relevant,primary_theme,new_category_barrier,purchase_trigger,consideration_level,categories_mentioned,jtbd,external_platform,segment_signal,sentiment
playstore_37d4f87e-11b9-4632-9696-135d312c0918_40,blinkit,playstore,1.0,I ordered Amul Kheer from Blinkit today but the kheer was completely spoiled and had a very bad smell and taste. It was not fit for consumption at all. Very disappointing experience. Blinkit should ensure proper quality checks before delivering food products.,False,trust_quality,none,replenishment,low,['grocery_staples'],none,none,unknown,negative
playstore_b4da47ed-d829-4bc8-a7ba-c61f55c802c6_59,blinkit,playstore,5.0,Very Very Good Quality Fast Speed Delivery & Delivery Boy Good,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_bf349ce9-46ba-4f86-9043-f7125436e31c_89,blinkit,playstore,3.0,best option for purchase quality and quantity,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_9aecfa90-05aa-40c7-aacc-e20f2e741dae_101,blinkit,playstore,1.0,"the worst delivery app, they dont deliver in time also the delivery partners don't even lift the call, please don't install this app it's waste of time use zepto or flipkart minutes or Swiggy Instamart.",False,delivery_ops,none,unknown,unknown,[],none,zepto,unknown,negative
playstore_0c84533c-2bef-47dd-b847-20f1b59d920b_119,blinkit,playstore,1.0,very bad experience. not good quality even we got half bottle of soda seal was broken also date expired. I recommended avoid order it's better to go market.,False,trust_quality,none,replenishment,unknown,['snacks_beverages'],none,offline,unknown,negative
playstore_c1c8585f-680f-4ef8-8418-a44a773dc9c8_244,blinkit,playstore,3.0,Poor quality product and delayed delivery,False,delivery_ops,none,unknown,unknown,[],none,none,unknown,negative
playstore_b248dbf5-18dc-4063-8e38-a14164525380_274,blinkit,playstore,5.0,meets the emergency requirement. Makes life easier at difficult times.,False,other,none,urgent_need,unknown,[],"when faced with an emergency, I want quick access to supplies, so I can manage difficult situations.",none,unknown,positive
playstore_b0be9709-db02-479c-a694-c6e03ef76cb0_281,blinkit,playstore,1.0,out of 9 orders I have received 7 orders as damaged or leaked or expired. Pls do not use this app.,False,delivery_ops,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_da9c9a34-c103-400e-b286-3a7694926303_298,blinkit,playstore,5.0,No description needed 😍,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_d2d7d8d1-8aec-4ccd-b7d0-d7793676edc1_301,blinkit,playstore,3.0,App is fine but the quality of their items and policy is poor,False,trust_quality,none,unknown,unknown,[],none,none,unknown,negative
playstore_2a296de5-fd0c-4870-b3cc-b45683c28270_304,blinkit,playstore,5.0,"a very useful app for daily needs, loved it",False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_0d0b5523-a171-4a3c-94b6-34fb9f45f933_305,blinkit,playstore,1.0,"I ordered a Citizens 2-fold umbrella based on the product images but received a completely different local umbrella. The delivery partner left without allowing me to check it. Customer support made the return process frustrating, asked me to travel back to the delivery location, couldn't accept gallery images, and then closed my complaint without resolving it. Very disappointing service and misleading product listing. very poor experience we will never order from this app...",False,returns_support,none,unknown,unknown,['other'],none,none,unknown,negative
playstore_59f1bf40-58b2-46e2-b943-07b758c924fb_307,blinkit,playstore,3.0,one time delivery free then cost so much as shown delivery fee s and gst and 30 rs extra over all ok ok review,False,price_value,none,unknown,unknown,[],none,none,unknown,negative
playstore_e0aee9e9-22b8-4521-989f-2facc624202c_309,blinkit,playstore,5.0,excellent performance and good quality,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_5de0fa11-ad50-4b1f-8724-108fc1ca7c96_351,blinkit,playstore,5.0,I truly trusted on this app ...Very easy to use and delivery time also good,False,other,none,unknown,unknown,[],none,none,unknown,positive
playstore_760203dc-d29f-4aa0-8826-80611e62beb6_356,blinkit,playstore,1.0,"I had ordered biscuits but all are like smaash, few months back also I had ordered that also same things, I hv ordered for somebody n don't hv time to replace or raise complaint.",False,trust_quality,none,replenishment,low,['snacks_beverages'],none,none,autopilot_narrow,negative
playstore_d1f267f2-91b6-4f76-8419-73a4ea89cf1d_367,blinkit,playstore,5.0,good quality of food,False,other,none,unknown,unknown,['grocery_staples'],none,none,unknown,positive
playstore_2900321a-f7b2-4ba5-87fc-52409c5b8008_370,blinkit,playstore,1.0,"This is the biggest fraud app, i have ever seen, with no accountability towards customer. No customer care number, i have all email admitting their mistakes, but at the end they said we can't replace the items, but we fully admit mistake, this is the work ethics they have, these guyz have no spine and no arguements to defend them, wishing them luck. These reviews donot have the option to attach the answers they gave me, otherwise would have posted it here.",False,returns_support,none,unknown,unknown,[],none,none,unknown,negative
playstore_7cc03c4c-3877-4d6c-b0ee-84e66d0c7df5_377,blinkit,playstore,1.0,before open the any pocket check the expiry date. i have a bad experience i received expired date item,False,trust_quality,none,replenishment,low,['grocery_staples'],none,none,unknown,negative
